,ID,lat,lon,values
0,1,46.68,11.02,
1,2,46.68,11.04,
2,3,46.68,11.06,
3,4,46.68,11.08,
4,5,46.68,11.1,
5,6,46.68,11.12,
6,7,46.68,11.14,
7,8,46.68,11.16,
8,9,46.68,11.18,
9,10,46.68,11.2,
10,11,46.68,11.22,
11,12,46.68,11.24,
12,13,46.68,11.26,
13,14,46.68,11.28,
14,15,46.68,11.3,
15,16,46.68,11.32,
16,17,46.68,11.34,
17,18,46.68,11.36,
18,19,46.68,11.38,
19,20,46.7,11.02,
20,21,46.7,11.04,
21,22,46.7,11.06,
22,23,46.7,11.08,
23,24,46.7,11.1,
24,25,46.7,11.12,
25,26,46.7,11.14,
26,27,46.7,11.16,
27,28,46.7,11.18,
28,29,46.7,11.2,
29,30,46.7,11.22,
30,31,46.7,11.24,
31,32,46.7,11.26,
32,33,46.7,11.28,
33,34,46.7,11.3,
34,35,46.7,11.32,
35,36,46.7,11.34,
36,37,46.7,11.36,
37,38,46.7,11.38,
38,39,46.72,11.02,
39,40,46.72,11.04,
40,41,46.72,11.06,
41,42,46.72,11.08,
42,43,46.72,11.1,
43,44,46.72,11.12,
44,45,46.72,11.14,
45,46,46.72,11.16,
46,47,46.72,11.18,
47,48,46.72,11.2,
48,49,46.72,11.22,
49,50,46.72,11.24,
50,51,46.72,11.26,
51,52,46.72,11.28,
52,53,46.72,11.3,
53,54,46.72,11.32,
54,55,46.72,11.34,
55,56,46.72,11.36,
56,57,46.72,11.38,
57,58,46.74,11.02,
58,59,46.74,11.04,
59,60,46.74,11.06,
60,61,46.74,11.08,
61,62,46.74,11.1,
62,63,46.74,11.12,
63,64,46.74,11.14,
64,65,46.74,11.16,
65,66,46.74,11.18,
66,67,46.74,11.2,
67,68,46.74,11.22,
68,69,46.74,11.24,
69,70,46.74,11.26,
70,71,46.74,11.28,
71,72,46.74,11.3,
72,73,46.74,11.32,
73,74,46.74,11.34,
74,75,46.74,11.36,
75,76,46.74,11.38,
76,77,46.76,11.02,
77,78,46.76,11.04,
78,79,46.76,11.06,
79,80,46.76,11.08,
80,81,46.76,11.1,
81,82,46.76,11.12,
82,83,46.76,11.14,
83,84,46.76,11.16,
84,85,46.76,11.18,
85,86,46.76,11.2,
86,87,46.76,11.22,
87,88,46.76,11.24,
88,89,46.76,11.26,
89,90,46.76,11.28,
90,91,46.76,11.3,
91,92,46.76,11.32,
92,93,46.76,11.34,
93,94,46.76,11.36,
94,95,46.76,11.38,
