;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2017-01-01 00:00:00;4.69;3.478;0.0;1045.6;52.72;0.0;0.0;3.4770833333333333
2017-01-01 01:00:00;4.69;3.478;17.22;1044.79;49.29;25.39;1251.73;3.4770833333333333
2017-01-01 02:00:00;4.68;3.478;0.0;1045.09;46.57;0.0;0.0;3.4770833333333333
2017-01-01 03:00:00;4.68;3.478;0.0;1045.4;44.09;0.0;0.0;3.4770833333333333
2017-01-01 04:00:00;4.68;3.478;0.07;1045.7;44.15;0.1;4.58;3.4770833333333333
2017-01-01 05:00:00;4.67;3.478;0.0;1046.0;42.18;0.0;0.0;3.4770833333333333
2017-01-01 06:00:00;4.67;3.478;0.0;1046.31;43.19;0.0;0.0;3.4770833333333333
2017-01-01 07:00:00;4.67;3.478;0.0;1046.61;39.58;0.0;0.0;3.4770833333333333
2017-01-01 08:00:00;4.66;3.478;0.0;1046.92;41.63;0.0;0.0;3.4770833333333333
2017-01-01 09:00:00;4.66;3.478;0.0;1047.22;41.41;0.0;0.0;3.4770833333333333
2017-01-01 10:00:00;4.66;3.478;0.0;1047.52;47.58;0.0;0.0;3.4770833333333333
2017-01-01 11:00:00;4.65;3.478;0.0;1047.83;46.57;0.0;0.0;3.4770833333333333
2017-01-01 12:00:00;4.65;3.478;0.0;1048.13;47.38;0.0;0.0;3.4770833333333333
2017-01-01 13:00:00;4.65;3.478;0.0;1048.43;37.99;0.0;0.0;3.4770833333333333
2017-01-01 14:00:00;4.64;3.478;0.0;1048.73;38.53;0.0;0.0;3.4770833333333333
2017-01-01 15:00:00;4.64;3.478;0.0;1049.04;40.63;0.0;0.0;3.4770833333333333
2017-01-01 16:00:00;4.64;3.478;0.1;1049.33;45.82;0.15;6.79;3.4770833333333333
2017-01-01 17:00:00;4.63;3.478;0.0;1049.63;49.06;0.0;0.0;3.4770833333333333
2017-01-01 18:00:00;4.63;3.478;22.0;1048.5;52.73;32.44;1710.73;3.4770833333333333
2017-01-01 19:00:00;4.63;3.478;22.0;1047.37;54.37;32.44;1763.94;3.4770833333333333
