;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2018-01-01 00:00:00;0.09;3.53;0.0;1673.99;45.73;0.0;0.0;0.0
2018-01-01 01:00:00;0.09;3.53;0.0;1673.99;44.16;0.0;0.0;0.0
2018-01-01 02:00:00;0.09;3.53;0.0;1673.99;42.24;0.0;0.0;0.0
2018-01-01 03:00:00;0.09;3.53;0.0;1673.99;39.29;0.0;0.0;0.0
2018-01-01 04:00:00;0.09;3.53;0.0;1673.99;36.0;0.0;0.0;0.0
2018-01-01 05:00:00;0.09;3.53;0.0;1673.99;41.99;0.0;0.0;0.0
2018-01-01 06:00:00;0.09;3.53;0.0;1673.99;42.25;0.0;0.0;0.0
2018-01-01 07:00:00;0.09;3.53;0.0;1673.99;44.97;0.0;0.0;0.0
2018-01-01 08:00:00;0.09;3.53;0.0;1673.99;45.0;0.0;0.0;0.0
2018-01-01 09:00:00;0.09;3.53;0.0;1674.0;44.94;0.0;0.0;0.0
2018-01-01 10:00:00;0.09;3.53;0.0;1674.0;45.04;0.0;0.0;0.0
2018-01-01 11:00:00;0.09;3.53;0.0;1674.0;46.67;0.0;0.0;0.0
2018-01-01 12:00:00;0.09;3.53;0.0;1674.0;46.99;0.0;0.0;0.0
2018-01-01 13:00:00;0.09;3.53;0.0;1674.0;44.16;0.0;0.0;0.0
2018-01-01 14:00:00;0.09;3.53;0.0;1674.0;45.26;0.0;0.0;0.0
2018-01-01 15:00:00;0.09;3.53;0.0;1674.0;47.84;0.0;0.0;0.0
2018-01-01 16:00:00;0.09;3.53;0.0;1674.0;50.1;0.0;0.0;0.0
2018-01-01 17:00:00;0.09;3.53;0.0;1674.0;54.3;0.0;0.0;0.0
2018-01-01 18:00:00;0.09;3.53;0.0;1674.0;51.91;0.0;0.0;0.0
2018-01-01 19:00:00;0.09;3.53;0.0;1674.0;51.38;0.0;0.0;0.0
2018-01-01 20:00:00;0.09;3.53;0.0;1674.0;49.2;0.0;0.0;0.0
2018-01-01 21:00:00;0.09;3.53;0.0;1674.0;45.73;0.0;0.0;0.0
2018-01-01 22:00:00;0.09;3.53;0.0;1674.0;44.84;0.0;0.0;0.0
2018-01-01 23:00:00;0.09;3.53;0.0;1674.0;38.11;0.0;0.0;0.0
2018-01-02 00:00:00;0.09;3.52;0.02;1674.0;19.19;0.13;2.45;0.5720833333333334
2018-01-02 01:00:00;0.09;3.52;0.02;1674.0;14.99;0.13;1.9;0.5720833333333334
2018-01-02 02:00:00;0.09;3.52;0.02;1674.0;11.0;0.13;1.4;0.5720833333333334
2018-01-02 03:00:00;0.09;3.52;0.02;1674.0;10.0;0.13;1.28;0.5720833333333334
2018-01-02 04:00:00;0.09;3.52;0.01;1674.0;11.83;0.08;0.98;0.5720833333333334
2018-01-02 05:00:00;0.09;3.52;0.0;1674.0;14.99;0.0;0.0;0.5720833333333334
2018-01-02 06:00:00;0.09;3.52;0.02;1674.0;40.6;0.13;5.18;0.5720833333333334
2018-01-02 07:00:00;0.09;3.52;0.13;1674.0;46.99;1.06;50.04;0.5720833333333334
2018-01-02 08:00:00;0.09;3.52;0.02;1674.0;47.95;0.14;6.67;0.5720833333333334
2018-01-02 09:00:00;0.09;3.52;0.0;1674.0;49.9;0.0;0.0;0.5720833333333334
2018-01-02 10:00:00;0.09;3.52;0.02;1674.0;50.0;0.13;6.39;0.5720833333333334
2018-01-02 11:00:00;0.09;3.52;0.04;1674.0;49.7;0.31;15.22;0.5720833333333334
2018-01-02 12:00:00;0.09;3.52;0.0;1674.0;48.16;0.0;0.0;0.5720833333333334
2018-01-02 13:00:00;0.09;3.52;0.37;1674.0;47.24;3.03;143.3;0.5720833333333334
2018-01-02 14:00:00;0.09;3.52;0.01;1674.0;46.1;0.06;2.88;0.5720833333333334
2018-01-02 15:00:00;0.09;3.52;0.04;1674.0;47.6;0.31;14.58;0.5720833333333334
2018-01-02 16:00:00;0.09;3.52;0.0;1674.0;50.45;0.0;0.0;0.5720833333333334
2018-01-02 17:00:00;0.09;3.52;0.04;1674.0;54.9;0.31;16.81;0.5720833333333334
2018-01-02 18:00:00;0.09;3.52;4.37;1673.99;57.18;36.08;2063.09;0.5720833333333334
2018-01-02 19:00:00;0.09;3.52;8.53;1673.96;54.9;70.41;3865.49;0.5720833333333334
2018-01-02 20:00:00;0.09;3.52;0.02;1673.96;51.2;0.13;6.54;0.5720833333333334
2018-01-02 21:00:00;0.09;3.52;0.01;1673.96;48.82;0.12;5.67;0.5720833333333334
2018-01-02 22:00:00;0.09;3.52;0.0;1673.96;45.14;0.0;0.0;0.5720833333333334
2018-01-02 23:00:00;0.09;3.52;0.02;1673.96;40.09;0.13;5.12;0.5720833333333334
