;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2018-01-01 00:00:00;0.09;3.53;0.0;1673.99;45.73;0.0;0.0;0.56625
2018-01-01 01:00:00;0.09;3.53;0.0;1673.99;44.16;0.0;0.0;0.56625
2018-01-01 02:00:00;0.09;3.53;0.0;1673.99;42.24;0.0;0.0;0.56625
2018-01-01 03:00:00;0.09;3.53;0.0;1673.99;39.29;0.0;0.0;0.56625
2018-01-01 04:00:00;0.09;3.53;0.0;1673.99;36.0;0.0;0.0;0.56625
2018-01-01 05:00:00;0.09;3.53;0.0;1673.99;41.99;0.0;0.0;0.56625
2018-01-01 06:00:00;0.09;3.53;0.0;1673.99;42.25;0.0;0.0;0.56625
2018-01-01 07:00:00;0.09;3.53;0.0;1673.99;44.97;0.0;0.0;0.56625
2018-01-01 08:00:00;0.09;3.53;1.31;1673.99;45.0;10.83;487.5;0.56625
2018-01-01 09:00:00;0.09;3.53;1.32;1673.99;44.94;10.89;489.51;0.56625
2018-01-01 10:00:00;0.09;3.53;6.16;1673.97;45.04;50.88;2291.81;0.56625
2018-01-01 11:00:00;0.09;3.53;1.55;1673.96;46.67;12.8;597.52;0.56625
2018-01-01 12:00:00;0.09;3.53;0.0;1673.96;46.99;0.0;0.0;0.56625
2018-01-01 13:00:00;0.09;3.53;0.0;1673.96;44.16;0.0;0.0;0.56625
2018-01-01 14:00:00;0.09;3.53;0.0;1673.96;45.26;0.0;0.0;0.56625
2018-01-01 15:00:00;0.09;3.53;1.7;1673.96;47.84;14.03;671.23;0.56625
2018-01-01 16:00:00;0.09;3.53;0.0;1673.96;50.1;0.0;0.0;0.56625
2018-01-01 17:00:00;0.09;3.53;0.0;1673.96;54.3;0.0;0.0;0.56625
2018-01-01 18:00:00;0.09;3.53;0.0;1673.96;51.91;0.0;0.0;0.56625
2018-01-01 19:00:00;0.09;3.53;1.49;1673.96;51.38;12.27;630.66;0.56625
2018-01-01 20:00:00;0.09;3.53;0.0;1673.96;49.2;0.0;0.0;0.56625
2018-01-01 21:00:00;0.09;3.53;0.06;1673.96;45.73;0.48;21.98;0.56625
2018-01-01 22:00:00;0.09;3.53;0.0;1673.96;44.84;0.0;0.0;0.56625
2018-01-01 23:00:00;0.09;3.53;0.0;1673.96;38.11;0.0;0.0;0.56625
2018-01-02 00:00:00;0.09;3.52;0.01;1673.96;19.19;0.04;0.79;2.85125
2018-01-02 01:00:00;0.09;3.52;0.01;1673.96;14.99;0.04;0.64;2.85125
2018-01-02 02:00:00;0.09;3.52;0.11;1673.96;11.0;0.9;9.87;2.85125
2018-01-02 03:00:00;0.09;3.52;0.01;1673.96;10.0;0.04;0.43;2.85125
2018-01-02 04:00:00;0.09;3.52;0.01;1673.96;11.83;0.04;0.51;2.85125
2018-01-02 05:00:00;0.09;3.52;0.3;1673.96;14.99;2.47;36.97;2.85125
2018-01-02 06:00:00;0.09;3.52;0.0;1673.96;40.6;0.01;0.55;2.85125
2018-01-02 07:00:00;0.09;3.52;0.01;1673.96;46.99;0.04;2.01;2.85125
2018-01-02 08:00:00;0.09;3.52;0.24;1673.96;47.95;2.01;96.6;2.85125
2018-01-02 09:00:00;0.09;3.52;0.01;1673.96;49.9;0.04;2.14;2.85125
2018-01-02 10:00:00;0.09;3.52;0.0;1673.96;50.0;0.0;0.0;2.85125
2018-01-02 11:00:00;0.09;3.52;0.26;1673.96;49.7;2.18;108.19;2.85125
2018-01-02 12:00:00;0.09;3.52;6.63;1673.94;48.16;54.68;2633.51;2.85125
2018-01-02 13:00:00;0.09;3.52;1.36;1673.93;47.24;11.19;528.4;2.85125
2018-01-02 14:00:00;0.09;3.52;13.7;1673.89;46.1;113.08;5212.76;2.85125
2018-01-02 15:00:00;0.09;3.52;12.22;1673.85;47.6;100.89;4802.16;2.85125
2018-01-02 16:00:00;0.09;3.52;0.01;1673.85;50.45;0.04;2.16;2.85125
2018-01-02 17:00:00;0.09;3.52;13.48;1673.81;54.9;111.25;6107.71;2.85125
2018-01-02 18:00:00;0.09;3.52;1.34;1673.81;57.18;11.08;633.8;2.85125
2018-01-02 19:00:00;0.09;3.52;0.01;1673.81;54.9;0.04;2.35;2.85125
2018-01-02 20:00:00;0.09;3.52;0.0;1673.81;51.2;0.0;0.0;2.85125
2018-01-02 21:00:00;0.09;3.52;5.02;1673.79;48.82;41.41;2021.57;2.85125
2018-01-02 22:00:00;0.09;3.52;0.0;1673.79;45.14;0.0;0.0;2.85125
2018-01-02 23:00:00;0.09;3.52;13.69;1673.75;40.09;113.03;4531.47;2.85125
2018-01-03 00:00:00;0.09;3.51;0.47;1673.75;42.75;3.87;165.55;9.11125
2018-01-03 01:00:00;0.09;3.51;0.0;1673.75;35.02;0.04;1.25;9.11125
2018-01-03 02:00:00;0.09;3.51;0.03;1673.75;28.85;0.25;7.11;9.11125
2018-01-03 03:00:00;0.09;3.51;0.66;1673.75;28.0;5.48;153.49;9.11125
2018-01-03 04:00:00;0.09;3.51;0.32;1673.75;35.02;2.62;91.72;9.11125
2018-01-03 05:00:00;0.09;3.51;2.66;1673.74;44.49;21.96;976.79;9.11125
2018-01-03 06:00:00;0.09;3.51;13.7;1673.69;50.65;113.08;5727.25;9.11125
2018-01-03 07:00:00;0.09;3.51;13.7;1673.65;67.0;113.08;7576.03;9.11125
2018-01-03 08:00:00;0.09;3.51;13.62;1673.61;70.0;112.41;7868.6;9.11125
2018-01-03 09:00:00;0.09;3.51;13.69;1673.57;68.0;113.03;7686.1;9.11125
2018-01-03 10:00:00;0.09;3.51;11.69;1673.53;55.7;96.45;5372.09;9.11125
2018-01-03 11:00:00;0.09;3.51;13.7;1673.49;53.3;113.08;6026.9;9.11125
2018-01-03 12:00:00;0.09;3.51;13.66;1673.44;52.61;112.75;5932.03;9.11125
2018-01-03 13:00:00;0.09;3.51;13.7;1673.4;50.65;113.08;5727.25;9.11125
2018-01-03 14:00:00;0.09;3.51;0.0;1673.4;53.3;0.0;0.0;9.11125
2018-01-03 15:00:00;0.09;3.51;13.7;1673.36;54.9;113.07;6207.29;9.11125
2018-01-03 16:00:00;0.09;3.51;13.7;1673.31;59.0;113.04;6669.14;9.11125
2018-01-03 17:00:00;0.09;3.51;13.7;1673.27;70.0;113.06;7914.37;9.11125
2018-01-03 18:00:00;0.09;3.51;13.69;1673.23;67.18;112.99;7590.77;9.11125
2018-01-03 19:00:00;0.09;3.51;13.7;1673.18;62.6;113.08;7078.5;9.11125
2018-01-03 20:00:00;0.09;3.51;13.7;1673.14;57.71;113.07;6525.25;9.11125
2018-01-03 21:00:00;0.09;3.51;13.69;1673.1;53.3;112.97;6021.49;9.11125
2018-01-03 22:00:00;0.09;3.51;0.02;1673.1;49.7;0.13;6.27;9.11125
2018-01-03 23:00:00;0.09;3.51;11.17;1673.06;44.15;92.19;4070.1;9.11125
2018-01-04 00:00:00;0.09;3.5;0.01;1673.06;32.5;0.12;3.94;2.8504166666666664
2018-01-04 01:00:00;0.09;3.5;0.03;1673.06;23.23;0.24;5.57;2.8504166666666664
2018-01-04 02:00:00;0.09;3.5;0.0;1673.06;18.22;0.0;0.0;2.8504166666666664
2018-01-04 03:00:00;0.09;3.5;0.0;1673.06;17.3;0.0;0.0;2.8504166666666664
2018-01-04 04:00:00;0.09;3.5;0.0;1673.06;18.39;0.0;0.05;2.8504166666666664
2018-01-04 05:00:00;0.09;3.5;0.0;1673.06;33.67;0.01;0.38;2.8504166666666664
2018-01-04 06:00:00;0.09;3.5;13.46;1673.02;44.39;111.12;4932.49;2.8504166666666664
2018-01-04 07:00:00;0.09;3.5;3.06;1673.01;49.78;25.27;1257.87;2.8504166666666664
2018-01-04 08:00:00;0.09;3.5;0.03;1673.01;50.25;0.24;12.03;2.8504166666666664
2018-01-04 09:00:00;0.09;3.5;13.7;1672.97;50.8;113.08;5744.22;2.8504166666666664
2018-01-04 10:00:00;0.09;3.5;13.63;1672.93;50.0;112.48;5623.78;2.8504166666666664
2018-01-04 11:00:00;0.08;3.5;0.17;1672.93;50.1;1.43;71.55;2.8504166666666664
2018-01-04 12:00:00;0.08;3.5;8.72;1672.9;46.85;71.99;3372.58;2.8504166666666664
2018-01-04 13:00:00;0.08;3.5;0.0;1672.9;46.5;0.0;0.0;2.8504166666666664
