;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2018-01-01 00:00:00;0.09;3.53;0.02;1673.99;45.73;0.15;6.92;3.53
2018-01-01 01:00:00;0.09;3.53;0.0;1673.99;44.16;0.0;0.0;3.53
2018-01-01 02:00:00;0.09;3.53;0.0;1673.99;42.24;0.0;0.05;3.53
2018-01-01 03:00:00;0.09;3.53;0.0;1673.99;39.29;0.0;0.03;3.53
2018-01-01 04:00:00;0.09;3.53;0.0;1673.99;36.0;0.0;0.0;3.53
2018-01-01 05:00:00;0.09;3.53;0.0;1673.99;41.99;0.0;0.0;3.53
2018-01-01 06:00:00;0.09;3.53;0.0;1673.99;42.25;0.0;0.01;3.53
2018-01-01 07:00:00;0.09;3.53;0.0;1673.99;44.97;0.0;0.0;3.53
2018-01-01 08:00:00;0.09;3.53;0.0;1673.99;45.0;0.01;0.38;3.53
2018-01-01 09:00:00;0.09;3.53;0.0;1674.0;44.94;0.0;0.0;3.53
2018-01-01 10:00:00;0.09;3.53;0.0;1674.0;45.04;0.0;0.0;3.53
2018-01-01 11:00:00;0.09;3.53;2.39;1673.99;46.67;19.7;919.38;3.53
2018-01-01 12:00:00;0.09;3.53;13.7;1673.95;46.99;113.08;5313.4;3.53
2018-01-01 13:00:00;0.09;3.53;0.0;1673.95;44.16;0.0;0.0;3.53
2018-01-01 14:00:00;0.09;3.53;0.0;1673.95;45.26;0.0;0.0;3.53
2018-01-01 15:00:00;0.09;3.53;13.7;1673.9;47.84;113.07;5409.18;3.53
2018-01-01 16:00:00;0.09;3.53;13.7;1673.86;50.1;113.08;5665.06;3.53
2018-01-01 17:00:00;0.09;3.53;13.7;1673.82;54.3;113.08;6139.98;3.53
2018-01-01 18:00:00;0.09;3.53;13.7;1673.78;51.91;113.08;5869.73;3.53
2018-01-01 19:00:00;0.09;3.53;13.7;1673.73;51.38;113.08;5809.8;3.53
2018-01-01 20:00:00;0.09;3.53;0.0;1673.73;49.2;0.02;1.17;3.53
2018-01-01 21:00:00;0.09;3.53;0.11;1673.73;45.73;0.91;41.73;3.53
2018-01-01 22:00:00;0.09;3.53;0.0;1673.73;44.84;0.0;0.0;3.53
2018-01-01 23:00:00;0.09;3.53;0.0;1673.73;38.11;0.0;0.0;3.53
2018-01-02 00:00:00;0.09;3.52;0.0;1673.73;19.19;0.0;0.0;3.52
2018-01-02 01:00:00;0.09;3.52;0.0;1673.73;14.99;0.0;0.0;3.52
2018-01-02 02:00:00;0.09;3.52;0.0;1673.73;11.0;0.0;0.0;3.52
2018-01-02 03:00:00;0.09;3.52;0.0;1673.73;10.0;0.0;0.0;3.52
2018-01-02 04:00:00;0.09;3.52;0.0;1673.73;11.83;0.0;0.0;3.52
2018-01-02 05:00:00;0.09;3.52;0.0;1673.73;14.99;0.0;0.0;3.52
