;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2018-01-01 00:00:00;0.09;3.53;0.0;1673.99;41.41;0.0;0.0;3.53
2018-01-01 01:00:00;0.09;3.53;0.0;1673.99;40.22;0.0;0.0;3.53
2018-01-01 02:00:00;0.09;3.53;0.0;1673.99;36.83;0.0;0.13;3.53
2018-01-01 03:00:00;0.09;3.53;0.0;1673.99;34.05;0.0;0.0;3.53
2018-01-01 04:00:00;0.09;3.53;0.0;1673.99;34.87;0.0;0.0;3.53
2018-01-01 05:00:00;0.09;3.53;0.0;1673.99;40.06;0.0;0.0;3.53
2018-01-01 06:00:00;0.09;3.53;0.0;1673.99;44.47;0.01;0.29;3.53
2018-01-01 07:00:00;0.09;3.53;0.0;1673.99;48.56;0.0;0.0;3.53
2018-01-01 08:00:00;0.09;3.53;13.69;1673.95;51.9;112.96;5862.12;3.53
2018-01-01 09:00:00;0.09;3.53;13.58;1673.91;51.06;112.1;5723.99;3.53
2018-01-01 10:00:00;0.09;3.53;0.0;1673.91;50.74;0.0;0.01;3.53
2018-01-01 11:00:00;0.09;3.53;0.0;1673.91;50.7;0.0;0.0;3.53
2018-01-01 12:00:00;0.09;3.53;0.0;1673.91;46.92;0.0;0.0;3.53
2018-01-01 13:00:00;0.09;3.53;0.01;1673.91;45.21;0.04;1.98;3.53
2018-01-01 14:00:00;0.09;3.53;0.0;1673.91;46.14;0.02;1.01;3.53
2018-01-01 15:00:00;0.09;3.53;0.24;1673.91;48.28;1.96;94.52;3.53
2018-01-01 16:00:00;0.09;3.53;13.7;1673.87;54.89;113.07;6206.68;3.53
2018-01-01 17:00:00;0.09;3.53;13.7;1673.83;59.82;113.08;6764.41;3.53
2018-01-01 18:00:00;0.09;3.53;13.7;1673.78;60.62;113.07;6854.21;3.53
2018-01-01 19:00:00;0.09;3.53;13.7;1673.74;57.49;113.08;6501.0;3.53
2018-01-01 20:00:00;0.09;3.53;0.76;1673.74;53.89;6.26;337.54;3.53
2018-01-01 21:00:00;0.09;3.53;0.87;1673.74;50.6;7.17;362.78;3.53
2018-01-01 22:00:00;0.09;3.53;0.0;1673.74;48.52;0.0;0.03;3.53
2018-01-01 23:00:00;0.09;3.53;0.77;1673.73;43.67;6.35;277.34;3.53
2018-01-02 00:00:00;0.09;3.52;0.0;1673.73;39.75;0.0;0.0;3.5199999999999996
2018-01-02 01:00:00;0.09;3.52;0.0;1673.73;35.81;0.0;0.0;3.5199999999999996
2018-01-02 02:00:00;0.09;3.52;0.0;1673.73;32.62;0.0;0.0;3.5199999999999996
2018-01-02 03:00:00;0.09;3.52;0.0;1673.73;32.08;0.0;0.0;3.5199999999999996
2018-01-02 04:00:00;0.09;3.52;0.0;1673.73;35.42;0.0;0.0;3.5199999999999996
2018-01-02 05:00:00;0.09;3.52;0.0;1673.73;36.52;0.0;0.0;3.5199999999999996
2018-01-02 06:00:00;0.09;3.52;0.0;1673.74;46.76;0.0;0.0;3.5199999999999996
2018-01-02 07:00:00;0.09;3.52;0.0;1673.74;52.69;0.0;0.0;3.5199999999999996
2018-01-02 08:00:00;0.09;3.52;0.0;1673.74;55.42;0.0;0.0;3.5199999999999996
2018-01-02 09:00:00;0.09;3.52;13.7;1673.69;54.42;113.08;6153.1;3.5199999999999996
2018-01-02 10:00:00;0.09;3.52;2.28;1673.69;53.36;18.81;1003.87;3.5199999999999996
2018-01-02 11:00:00;0.09;3.52;0.0;1673.69;52.91;0.0;0.0;3.5199999999999996
2018-01-02 12:00:00;0.09;3.52;0.0;1673.69;50.86;0.0;0.0;3.5199999999999996
2018-01-02 13:00:00;0.09;3.52;0.0;1673.69;51.9;0.0;0.0;3.5199999999999996
2018-01-02 14:00:00;0.09;3.52;13.7;1673.64;54.65;113.08;6179.3;3.5199999999999996
2018-01-02 15:00:00;0.09;3.52;0.0;1673.64;54.57;0.0;0.0;3.5199999999999996
2018-01-02 16:00:00;0.09;3.52;0.0;1673.64;59.01;0.0;0.0;3.5199999999999996
2018-01-02 17:00:00;0.09;3.52;13.7;1673.6;63.02;113.08;7126.34;3.5199999999999996
2018-01-02 18:00:00;0.09;3.52;13.7;1673.56;64.72;113.08;7318.63;3.5199999999999996
2018-01-02 19:00:00;0.09;3.52;13.7;1673.52;61.58;113.08;6962.77;3.5199999999999996
2018-01-02 20:00:00;0.09;3.52;13.7;1673.47;54.92;113.08;6210.61;3.5199999999999996
2018-01-02 21:00:00;0.09;3.52;0.0;1673.47;49.48;0.0;0.0;3.5199999999999996
2018-01-02 22:00:00;0.09;3.52;0.0;1673.47;47.55;0.0;0.0;3.5199999999999996
2018-01-02 23:00:00;0.09;3.52;0.0;1673.47;43.43;0.0;0.0;3.5199999999999996
2018-01-03 00:00:00;0.09;3.51;0.0;1673.47;42.12;0.0;0.0;3.51
2018-01-03 01:00:00;0.09;3.51;0.0;1673.47;36.95;0.0;0.0;3.51
2018-01-03 02:00:00;0.09;3.51;0.0;1673.47;32.35;0.0;0.0;3.51
2018-01-03 03:00:00;0.09;3.51;0.0;1673.47;30.01;0.0;0.0;3.51
2018-01-03 04:00:00;0.09;3.51;0.0;1673.48;30.89;0.0;0.0;3.51
2018-01-03 05:00:00;0.09;3.51;0.0;1673.48;35.28;0.0;0.0;3.51
2018-01-03 06:00:00;0.09;3.51;0.0;1673.48;48.95;0.0;0.0;3.51
