;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2018-01-01 00:00:00;0.09;3.53;0.0;1673.99;43.26;0.0;0.0;3.53
2018-01-01 01:00:00;0.09;3.53;0.0;1673.99;42.97;0.0;0.0;3.53
2018-01-01 02:00:00;0.09;3.53;0.0;1673.99;39.49;0.0;0.0;3.53
2018-01-01 03:00:00;0.09;3.53;0.0;1673.99;36.69;0.0;0.0;3.53
2018-01-01 04:00:00;0.09;3.53;0.0;1673.99;36.09;0.0;0.0;3.53
2018-01-01 05:00:00;0.09;3.53;0.0;1673.99;41.03;0.0;0.0;3.53
2018-01-01 06:00:00;0.09;3.53;0.0;1673.99;44.06;0.0;0.0;3.53
2018-01-01 07:00:00;0.09;3.53;0.0;1673.99;47.29;0.0;0.0;3.53
2018-01-01 08:00:00;0.09;3.53;0.0;1673.99;47.44;0.0;0.0;3.53
2018-01-01 09:00:00;0.09;3.53;0.0;1674.0;49.69;0.0;0.0;3.53
2018-01-01 10:00:00;0.09;3.53;13.7;1673.95;51.87;113.08;5865.22;3.53
2018-01-01 11:00:00;0.09;3.53;2.52;1673.95;51.65;20.8;1074.24;3.53
2018-01-01 12:00:00;0.09;3.53;0.0;1673.95;49.18;0.0;0.0;3.53
2018-01-01 13:00:00;0.09;3.53;0.0;1673.95;46.53;0.0;0.0;3.53
2018-01-01 14:00:00;0.09;3.53;0.0;1673.95;47.96;0.0;0.0;3.53
2018-01-01 15:00:00;0.09;3.53;0.0;1673.95;50.61;0.0;0.0;3.53
2018-01-01 16:00:00;0.09;3.53;13.7;1673.9;59.48;113.08;6726.25;3.53
2018-01-01 17:00:00;0.09;3.53;13.7;1673.86;63.9;113.08;7225.07;3.53
2018-01-01 18:00:00;0.09;3.53;13.7;1673.82;61.44;113.08;6947.26;3.53
2018-01-01 19:00:00;0.09;3.53;13.7;1673.78;56.68;113.08;6409.57;3.53
2018-01-01 20:00:00;0.09;3.53;13.7;1673.73;53.54;113.08;6054.18;3.53
2018-01-01 21:00:00;0.09;3.53;0.0;1673.73;49.8;0.0;0.0;3.53
2018-01-01 22:00:00;0.09;3.53;0.0;1673.73;47.1;0.0;0.0;3.53
2018-01-01 23:00:00;0.09;3.53;0.0;1673.73;43.72;0.0;0.0;3.53
2018-01-02 00:00:00;0.09;3.52;0.0;1673.73;39.79;0.0;0.0;3.5199999999999996
2018-01-02 01:00:00;0.09;3.52;0.0;1673.73;37.0;0.0;0.0;3.5199999999999996
2018-01-02 02:00:00;0.09;3.52;0.0;1673.73;32.75;0.0;0.0;3.5199999999999996
2018-01-02 03:00:00;0.09;3.52;0.0;1673.73;31.24;0.0;0.0;3.5199999999999996
2018-01-02 04:00:00;0.09;3.52;0.0;1673.73;35.23;0.0;0.0;3.5199999999999996
2018-01-02 05:00:00;0.09;3.52;0.0;1673.73;36.02;0.0;0.0;3.5199999999999996
2018-01-02 06:00:00;0.09;3.52;0.0;1673.74;47.3;0.0;0.0;3.5199999999999996
2018-01-02 07:00:00;0.09;3.52;0.0;1673.74;52.41;0.0;0.0;3.5199999999999996
2018-01-02 08:00:00;0.09;3.52;2.28;1673.73;52.9;18.82;995.45;3.5199999999999996
2018-01-02 09:00:00;0.09;3.52;13.7;1673.69;52.77;113.08;5966.79;3.5199999999999996
2018-01-02 10:00:00;0.09;3.52;0.0;1673.69;53.5;0.0;0.0;3.5199999999999996
2018-01-02 11:00:00;0.09;3.52;0.0;1673.69;53.38;0.0;0.0;3.5199999999999996
