Day;Q_out;Q_in
2017/01/01 00:00;21.0;22.2
2017/01/02 00:00;21.0;13.0
2017/01/03 00:00;22.1;16.6
2017/01/04 00:00;15.4;10.6
2017/01/05 00:00;16.1;15.9
2017/01/06 00:00;12.0;13.9
2017/01/07 00:00;18.0;16.9
2017/01/08 00:00;21.9;23.5
2017/01/09 00:00;24.1;21.5
2017/01/10 00:00;26.5;21.2
2017/01/11 00:00;19.6;12.4
2017/01/12 00:00;18.1;15.4
2017/01/13 00:00;17.4;16.4
2017/01/14 00:00;21.6;19.1
2017/01/15 00:00;26.3;20.2
2017/01/16 00:00;23.8;14.3
2017/01/17 00:00;23.7;13.6
2017/01/18 00:00;16.4;10.1
2017/01/19 00:00;17.2;16.3
2017/01/20 00:00;17.8;16.2
2017/01/21 00:00;22.7;19.0
2017/01/22 00:00;27.5;19.3
2017/01/23 00:00;21.7;9.9
2017/01/24 00:00;24.7;16.0
2017/01/25 00:00;22.8;11.7
2017/01/26 00:00;20.9;13.3
2017/01/27 00:00;17.6;12.4
2017/01/28 00:00;21.1;16.3
2017/01/29 00:00;22.6;18.1
2017/01/30 00:00;23.5;13.7
2017/01/31 00:00;26.5;16.8
2017/02/01 00:00;26.0;37.8
2017/02/02 00:00;25.8;11.5
2017/02/03 00:00;23.3;14.6
2017/02/04 00:00;28.4;22.5
2017/02/05 00:00;28.9;20.8
2017/02/06 00:00;26.4;11.6
2017/02/07 00:00;29.0;17.7
2017/02/08 00:00;29.7;13.4
2017/02/09 00:00;30.3;13.3
2017/02/10 00:00;23.8;10.6
2017/02/11 00:00;27.7;21.0
2017/02/12 00:00;26.7;19.2
2017/02/13 00:00;26.3;13.1
2017/02/14 00:00;30.6;20.3
2017/02/15 00:00;30.4;12.3
2017/02/16 00:00;31.0;13.7
2017/02/17 00:00;24.6;11.7
2017/02/18 00:00;28.7;20.2
2017/02/19 00:00;24.6;19.4
2017/02/20 00:00;25.7;14.6
2017/02/21 00:00;30.1;19.8
2017/02/22 00:00;28.1;8.9
2017/02/23 00:00;28.4;12.4
2017/02/24 00:00;22.9;12.2
2017/02/25 00:00;25.9;19.6
2017/02/26 00:00;27.1;20.6
2017/02/27 00:00;25.1;14.1
2017/02/28 00:00;26.2;16.0
2017/03/01 00:00;30.5;10.5
2017/03/02 00:00;23.2;6.1
2017/03/03 00:00;20.9;7.5
2017/03/04 00:00;21.1;12.9
2017/03/05 00:00;24.6;16.4
2017/03/06 00:00;21.2;11.5
2017/03/07 00:00;24.1;15.6
2017/03/08 00:00;25.1;16.1
2017/03/09 00:00;20.8;13.2
2017/03/10 00:00;13.9;10.2
2017/03/11 00:00;17.8;15.9
2017/03/12 00:00;22.7;16.4
2017/03/13 00:00;18.0;11.8
2017/03/14 00:00;20.9;17.8
2017/03/15 00:00;25.8;19.3
2017/03/16 00:00;19.6;12.7
2017/03/17 00:00;18.3;12.8
2017/03/18 00:00;22.7;19.0
2017/03/19 00:00;21.0;11.9
2017/03/20 00:00;20.9;15.4
2017/03/21 00:00;23.3;14.9
2017/03/22 00:00;26.1;16.8
2017/03/23 00:00;20.0;14.6
2017/03/24 00:00;19.1;15.0
2017/03/25 00:00;22.0;18.3
2017/03/26 00:00;22.7;17.1
2017/03/27 00:00;21.7;12.7
2017/03/28 00:00;22.3;15.5
2017/03/29 00:00;25.6;17.6
2017/03/30 00:00;19.7;13.8
2017/03/31 00:00;13.0;11.1
2017/04/01 00:00;11.9;18.3
2017/04/02 00:00;11.5;15.9
2017/04/03 00:00;14.0;19.1
2017/04/04 00:00;14.3;16.7
2017/04/05 00:00;17.7;20.5
2017/04/06 00:00;17.3;16.9
2017/04/07 00:00;17.8;17.1
2017/04/08 00:00;11.6;12.8
2017/04/09 00:00;12.7;16.3
2017/04/10 00:00;13.7;18.1
2017/04/11 00:00;14.0;14.5
2017/04/12 00:00;15.3;15.8
2017/04/13 00:00;16.0;15.1
2017/04/14 00:00;16.2;15.1
2017/04/15 00:00;11.2;13.2
2017/04/16 00:00;9.3;13.0
2017/04/17 00:00;13.5;18.7
2017/04/18 00:00;14.8;16.7
2017/04/19 00:00;16.0;18.0
2017/04/20 00:00;13.8;14.8
2017/04/21 00:00;15.3;19.7
2017/04/22 00:00;12.7;16.1
2017/04/23 00:00;12.1;17.5
2017/04/24 00:00;15.6;22.6
2017/04/25 00:00;15.6;20.7
2017/04/26 00:00;19.7;23.8
2017/04/27 00:00;16.1;20.1
2017/04/28 00:00;13.1;19.8
2017/04/29 00:00;12.6;21.7
2017/04/30 00:00;12.5;24.7
2017/05/01 00:00;15.3;27.4
2017/05/02 00:00;15.8;27.0
2017/05/03 00:00;21.1;35.2
2017/05/04 00:00;18.9;44.4
2017/05/05 00:00;22.1;68.1
2017/05/06 00:00;23.1;51.7
2017/05/07 00:00;23.1;45.1
2017/05/08 00:00;21.0;38.6
2017/05/09 00:00;22.0;38.9
2017/05/10 00:00;23.3;39.3
2017/05/11 00:00;18.8;35.4
2017/05/12 00:00;22.9;43.8
2017/05/13 00:00;26.1;40.8
2017/05/14 00:00;25.2;36.4
2017/05/15 00:00;22.6;35.5
2017/05/16 00:00;23.1;37.3
2017/05/17 00:00;22.3;35.3
2017/05/18 00:00;16.8;31.8
2017/05/19 00:00;22.8;48.5
2017/05/20 00:00;19.1;40.4
2017/05/21 00:00;19.0;41.3
2017/05/22 00:00;21.4;37.7
2017/05/23 00:00;25.7;49.8
2017/05/24 00:00;25.8;40.6
2017/05/25 00:00;21.5;41.4
2017/05/26 00:00;27.8;49.2
2017/05/27 00:00;23.4;42.6
2017/05/28 00:00;19.9;41.1
2017/05/29 00:00;25.6;50.3
2017/05/30 00:00;27.8;46.4
2017/05/31 00:00;24.4;41.2
2017/06/01 00:00;22.3;40.0
2017/06/02 00:00;20.0;37.9
2017/06/03 00:00;22.9;49.5
2017/06/04 00:00;22.5;38.6
2017/06/05 00:00;22.3;37.3
2017/06/06 00:00;26.3;43.2
2017/06/07 00:00;24.2;47.2
2017/06/08 00:00;23.3;44.1
2017/06/09 00:00;33.8;48.5
2017/06/10 00:00;28.5;46.1
2017/06/11 00:00;32.0;57.0
2017/06/12 00:00;39.7;74.8
2017/06/13 00:00;34.2;49.8
2017/06/14 00:00;34.2;45.3
2017/06/15 00:00;29.7;47.1
2017/06/16 00:00;43.9;57.5
2017/06/17 00:00;40.8;42.8
2017/06/18 00:00;39.8;45.5
2017/06/19 00:00;44.4;47.8
2017/06/20 00:00;42.5;41.9
2017/06/21 00:00;39.3;39.1
2017/06/22 00:00;37.1;37.9
2017/06/23 00:00;43.9;45.4
2017/06/24 00:00;40.1;36.6
2017/06/25 00:00;40.1;41.1
2017/06/26 00:00;42.7;42.6
2017/06/27 00:00;41.6;37.4
2017/06/28 00:00;38.4;38.9
2017/06/29 00:00;39.2;41.9
2017/06/30 00:00;46.0;52.7
2017/07/01 00:00;44.2;38.8
2017/07/02 00:00;42.2;38.9
2017/07/03 00:00;37.9;35.3
2017/07/04 00:00;34.6;37.6
2017/07/05 00:00;36.0;40.4
2017/07/06 00:00;28.8;27.8
2017/07/07 00:00;36.4;41.8
2017/07/08 00:00;39.8;40.3
2017/07/09 00:00;39.0;36.5
2017/07/10 00:00;39.4;40.1
2017/07/11 00:00;37.8;34.0
2017/07/12 00:00;37.7;42.1
2017/07/13 00:00;29.8;29.1
2017/07/14 00:00;36.6;39.3
2017/07/15 00:00;40.0;34.1
2017/07/16 00:00;40.8;34.4
2017/07/17 00:00;39.8;47.8
2017/07/18 00:00;36.9;33.6
2017/07/19 00:00;38.0;36.2
2017/07/20 00:00;30.5;23.8
2017/07/21 00:00;42.6;44.1
2017/07/22 00:00;41.1;34.5
2017/07/23 00:00;39.6;28.9
2017/07/24 00:00;36.1;26.4
2017/07/25 00:00;37.4;34.2
2017/07/26 00:00;33.6;31.2
2017/07/27 00:00;27.0;26.3
2017/07/28 00:00;33.8;32.4
2017/07/29 00:00;35.6;30.7
2017/07/30 00:00;37.6;29.6
2017/07/31 00:00;38.0;27.2
2017/08/01 00:00;24.7;25.0
2017/08/02 00:00;28.6;26.7
2017/08/03 00:00;22.2;18.3
2017/08/04 00:00;23.3;24.1
2017/08/05 00:00;29.6;34.2
2017/08/06 00:00;28.5;32.6
2017/08/07 00:00;27.5;32.3
2017/08/08 00:00;25.5;23.0
2017/08/09 00:00;18.6;18.8
2017/08/10 00:00;12.5;16.0
2017/08/11 00:00;10.8;23.5
2017/08/12 00:00;17.7;35.3
2017/08/13 00:00;26.1;33.0
2017/08/14 00:00;22.6;20.5
2017/08/15 00:00;19.2;16.0
2017/08/16 00:00;21.2;20.4
2017/08/17 00:00;18.8;16.4
2017/08/18 00:00;20.0;20.9
2017/08/19 00:00;19.7;21.7
2017/08/20 00:00;13.4;15.4
2017/08/21 00:00;12.3;16.2
2017/08/22 00:00;11.1;16.8
2017/08/23 00:00;18.1;24.1
2017/08/24 00:00;18.4;16.9
2017/08/25 00:00;17.0;16.1
2017/08/26 00:00;15.5;15.1
2017/08/27 00:00;15.5;14.1
2017/08/28 00:00;7.1;9.3
2017/08/29 00:00;7.8;15.0
2017/08/30 00:00;13.1;19.3
2017/08/31 00:00;14.5;16.3
2017/09/01 00:00;21.3;124.2
2017/09/02 00:00;21.7;26.0
2017/09/03 00:00;29.6;27.0
2017/09/04 00:00;27.0;19.7
2017/09/05 00:00;27.3;19.0
2017/09/06 00:00;29.4;25.7
2017/09/07 00:00;22.0;14.1
2017/09/08 00:00;21.3;19.3
2017/09/09 00:00;20.2;18.2
2017/09/10 00:00;27.7;22.8
2017/09/11 00:00;27.4;19.2
2017/09/12 00:00;27.5;16.4
2017/09/13 00:00;29.4;21.2
2017/09/14 00:00;22.7;10.7
2017/09/15 00:00;22.1;18.3
2017/09/16 00:00;19.5;17.0
2017/09/17 00:00;27.0;23.3
2017/09/18 00:00;26.7;18.2
2017/09/19 00:00;26.3;15.0
2017/09/20 00:00;26.4;18.0
2017/09/21 00:00;21.3;19.0
2017/09/22 00:00;14.7;17.9
2017/09/23 00:00;9.7;12.2
2017/09/24 00:00;17.2;16.9
2017/09/25 00:00;22.9;13.7
2017/09/26 00:00;20.5;11.5
2017/09/27 00:00;20.0;14.6
