datetime,values
2021-10-01 10:00:00,211.2
2021-10-01 11:00:00,205.45
2021-10-01 12:00:00,205.0
2021-10-01 13:00:00,209.08
2021-10-01 14:00:00,207.97
2021-10-01 15:00:00,209.11
2021-10-01 16:00:00,217.0
2021-10-01 17:00:00,230.49
2021-10-01 18:00:00,250.0
2021-10-01 19:00:00,235.0
2021-10-01 20:00:00,209.11
2021-10-01 21:00:00,207.97
2021-10-01 22:00:00,197.44
2021-10-01 23:00:00,240.0
2021-10-02 00:00:00,232.32
2021-10-02 01:00:00,230.08
2021-10-02 02:00:00,220.0
2021-10-02 03:00:00,220.0
2021-10-02 04:00:00,226.84
2021-10-02 05:00:00,239.08
2021-10-02 06:00:00,249.62
2021-10-02 07:00:00,240.0
2021-10-02 08:00:00,232.32
2021-10-02 09:00:00,230.0
2021-10-02 10:00:00,200.0
2021-10-02 11:00:00,189.99
2021-10-02 12:00:00,185.19
2021-10-02 13:00:00,184.97
2021-10-02 14:00:00,193.15
2021-10-02 15:00:00,206.3
2021-10-02 16:00:00,230.0
2021-10-02 17:00:00,250.0
2021-10-02 18:00:00,290.0
2021-10-02 19:00:00,264.85
2021-10-02 20:00:00,239.08
2021-10-02 21:00:00,230.0
2021-10-02 22:00:00,227.3
2021-10-02 23:00:00,200.0
2021-10-03 00:00:00,192.56
2021-10-03 01:00:00,189.5
2021-10-03 02:00:00,180.4
2021-10-03 03:00:00,182.5
2021-10-03 04:00:00,190.07
2021-10-03 05:00:00,185.16
2021-10-03 06:00:00,185.16
2021-10-03 07:00:00,185.16
2021-10-03 08:00:00,200.0
2021-10-03 09:00:00,200.0
2021-10-03 10:00:00,185.5
2021-10-03 11:00:00,175.65
2021-10-03 12:00:00,167.67
2021-10-03 13:00:00,166.7
2021-10-03 14:00:00,165.0
2021-10-03 15:00:00,173.69
2021-10-03 16:00:00,190.0
2021-10-03 17:00:00,224.28
2021-10-03 18:00:00,233.83
2021-10-03 19:00:00,229.68
2021-10-03 20:00:00,220.0
2021-10-03 21:00:00,195.83
2021-10-03 22:00:00,180.0
2021-10-03 23:00:00,162.57
2021-10-04 00:00:00,158.78
2021-10-04 01:00:00,157.35
2021-10-04 02:00:00,156.6
2021-10-04 03:00:00,157.35
2021-10-04 04:00:00,163.23
2021-10-04 05:00:00,210.0
2021-10-04 06:00:00,230.0
2021-10-04 07:00:00,245.0
2021-10-04 08:00:00,242.09
2021-10-04 09:00:00,240.0
2021-10-04 10:00:00,240.0
2021-10-04 11:00:00,220.0
2021-10-04 12:00:00,220.0
2021-10-04 13:00:00,235.0
2021-10-04 14:00:00,223.65
2021-10-04 15:00:00,230.0
2021-10-04 16:00:00,230.0
2021-10-04 17:00:00,250.0
2021-10-04 18:00:00,265.85
2021-10-04 19:00:00,250.0
2021-10-04 20:00:00,223.65
2021-10-04 21:00:00,210.0
2021-10-04 22:00:00,196.74
2021-10-04 23:00:00,189.5
2021-10-05 00:00:00,185.5
2021-10-05 01:00:00,175.0
2021-10-05 02:00:00,162.57
2021-10-05 03:00:00,179.2
2021-10-05 04:00:00,185.5
2021-10-05 05:00:00,214.14
