dates,values
2017-01-01 00:00,3.478
2017-01-02 00:00,3.524
2017-01-03 00:00,3.562
2017-01-04 00:00,3.599
2017-01-05 00:00,3.655
2017-01-06 00:00,3.663
2017-01-07 00:00,3.661
2017-01-08 00:00,3.648
2017-01-09 00:00,3.630
2017-01-10 00:00,3.636
2017-01-11 00:00,3.624
2017-01-12 00:00,3.614
2017-01-13 00:00,3.604
2017-01-14 00:00,3.557
2017-01-15 00:00,3.512
2017-01-16 00:00,3.463
2017-01-17 00:00,3.408
2017-01-18 00:00,3.344
2017-01-19 00:00,3.278
2017-01-20 00:00,3.220
2017-01-21 00:00,3.200
2017-01-22 00:00,3.170
2017-01-23 00:00,3.146
2017-01-24 00:00,3.103
2017-01-25 00:00,3.070
2017-01-26 00:00,3.040
2017-01-27 00:00,3.001
2017-01-28 00:00,2.966
2017-01-29 00:00,2.889
2017-01-30 00:00,2.825
2017-01-31 00:00,2.775
2017-02-01 00:00,2.701
2017-02-02 00:00,2.637
2017-02-03 00:00,2.593
2017-02-04 00:00,2.549
2017-02-05 00:00,2.559
2017-02-06 00:00,2.568
2017-02-07 00:00,2.571
2017-02-08 00:00,2.565
2017-02-09 00:00,2.553
2017-02-10 00:00,2.546
2017-02-11 00:00,2.541
2017-02-12 00:00,2.542
2017-02-13 00:00,2.534
2017-02-14 00:00,2.522
2017-02-15 00:00,2.520
2017-02-16 00:00,2.513
2017-02-17 00:00,2.506
2017-02-18 00:00,2.504
2017-02-19 00:00,2.505
2017-02-20 00:00,2.503
2017-02-21 00:00,2.500
2017-02-22 00:00,2.498
2017-02-23 00:00,2.489
2017-02-24 00:00,2.491
2017-02-25 00:00,2.505
2017-02-26 00:00,2.442
2017-02-27 00:00,2.529
2017-02-28 00:00,2.574
2017-03-01 00:00,2.559
2017-03-02 00:00,2.575
2017-03-03 00:00,2.579
2017-03-04 00:00,2.704
2017-03-05 00:00,2.715
2017-03-06 00:00,2.704
2017-03-07 00:00,2.723
2017-03-08 00:00,2.728
2017-03-09 00:00,2.759
2017-03-10 00:00,2.787
2017-03-11 00:00,2.805
2017-03-12 00:00,2.820
2017-03-13 00:00,2.864
2017-03-14 00:00,2.903
2017-03-15 00:00,2.944
2017-03-16 00:00,2.976
2017-03-17 00:00,2.999
2017-03-18 00:00,2.987
2017-03-19 00:00,3.024
2017-03-20 00:00,3.091
2017-03-21 00:00,3.163
2017-03-22 00:00,3.248
2017-03-23 00:00,3.328
2017-03-24 00:00,3.436
2017-03-25 00:00,3.531
2017-03-26 00:00,3.605
2017-03-27 00:00,3.734
2017-03-28 00:00,3.849
2017-03-29 00:00,3.921
2017-03-30 00:00,3.957
2017-03-31 00:00,3.984
2017-04-01 00:00,4.039
2017-04-02 00:00,4.142
2017-04-03 00:00,4.221
2017-04-04 00:00,4.301
2017-04-05 00:00,4.377
2017-04-06 00:00,4.421
2017-04-07 00:00,4.430
2017-04-08 00:00,4.481
2017-04-09 00:00,4.436
2017-04-10 00:00,4.370
2017-04-11 00:00,4.342
2017-04-12 00:00,4.345
2017-04-13 00:00,4.379
2017-04-14 00:00,4.465
2017-04-15 00:00,4.516
2017-04-16 00:00,4.581
2017-04-17 00:00,4.645
2017-04-18 00:00,4.691
2017-04-19 00:00,4.749
2017-04-20 00:00,4.820
2017-04-21 00:00,4.875
2017-04-22 00:00,4.936
2017-04-23 00:00,5.008
2017-04-24 00:00,5.135
2017-04-25 00:00,5.322
2017-04-26 00:00,5.533
2017-04-27 00:00,5.727
2017-04-28 00:00,6.122
2017-04-29 00:00,6.554
2017-04-30 00:00,7.017
2017-05-01 00:00,14.733
2017-05-02 00:00,15.370
2017-05-03 00:00,15.926
2017-05-04 00:00,16.398
2017-05-05 00:00,16.437
2017-05-06 00:00,16.508
2017-05-07 00:00,16.448
2017-05-08 00:00,16.569
2017-05-09 00:00,16.743
2017-05-10 00:00,16.593
2017-05-11 00:00,16.578
2017-05-12 00:00,16.541
2017-05-13 00:00,16.572
2017-05-14 00:00,16.637
2017-05-15 00:00,16.533
2017-05-16 00:00,16.379
2017-05-17 00:00,16.168
2017-05-18 00:00,16.102
2017-05-19 00:00,16.084
2017-05-20 00:00,16.109
2017-05-21 00:00,16.037
2017-05-22 00:00,15.940
2017-05-23 00:00,15.802
2017-05-24 00:00,15.878
2017-05-25 00:00,15.914
2017-05-26 00:00,16.031
2017-05-27 00:00,15.948
2017-05-28 00:00,15.857
2017-05-29 00:00,15.848
2017-05-30 00:00,15.825
2017-05-31 00:00,15.813
2017-06-01 00:00,18.476
2017-06-02 00:00,18.234
2017-06-03 00:00,18.091
2017-06-04 00:00,18.297
2017-06-05 00:00,18.406
2017-06-06 00:00,18.408
2017-06-07 00:00,18.545
2017-06-08 00:00,18.590
2017-06-09 00:00,18.834
2017-06-10 00:00,19.058
2017-06-11 00:00,19.147
2017-06-12 00:00,19.218
2017-06-13 00:00,19.125
2017-06-14 00:00,19.187
2017-06-15 00:00,19.279
2017-06-16 00:00,19.371
2017-06-17 00:00,19.380
2017-06-18 00:00,19.260
2017-06-19 00:00,19.045
2017-06-20 00:00,18.974
2017-06-21 00:00,18.875
2017-06-22 00:00,18.886
2017-06-23 00:00,18.937
2017-06-24 00:00,18.947
2017-06-25 00:00,18.818
2017-06-26 00:00,18.880
2017-06-27 00:00,19.014
2017-06-28 00:00,18.979
2017-06-29 00:00,18.796
2017-06-30 00:00,18.349
2017-07-01 00:00,17.911
2017-07-02 00:00,18.067
2017-07-03 00:00,18.015
