dates;values
2018-01-01 00:00;3.53
2018-01-02 00:00;3.52
2018-01-03 00:00;3.51
2018-01-04 00:00;3.50
2018-01-05 00:00;3.49
2018-01-06 00:00;3.47
2018-01-07 00:00;3.45
2018-01-08 00:00;3.42
2018-01-09 00:00;3.40
2018-01-10 00:00;3.38
2018-01-11 00:00;3.35
2018-01-12 00:00;3.33
2018-01-13 00:00;3.30
2018-01-14 00:00;3.27
2018-01-15 00:00;3.23
2018-01-16 00:00;3.20
2018-01-17 00:00;3.16
2018-01-18 00:00;3.12
2018-01-19 00:00;3.08
2018-01-20 00:00;3.05
2018-01-21 00:00;3.02
2018-01-22 00:00;2.99
2018-01-23 00:00;2.96
2018-01-24 00:00;2.93
2018-01-25 00:00;2.90
2018-01-26 00:00;2.87
2018-01-27 00:00;2.84
2018-01-28 00:00;2.80
2018-01-29 00:00;2.76
2018-01-30 00:00;2.72
2018-01-31 00:00;2.69
2018-02-01 00:00;2.65
2018-02-02 00:00;2.61
2018-02-03 00:00;2.57
2018-02-04 00:00;2.54
2018-02-05 00:00;2.52
2018-02-06 00:00;2.50
2018-02-07 00:00;2.48
2018-02-08 00:00;2.46
2018-02-09 00:00;2.43
2018-02-10 00:00;2.41
2018-02-11 00:00;2.38
2018-02-12 00:00;2.36
2018-02-13 00:00;2.34
2018-02-14 00:00;2.31
2018-02-15 00:00;2.29
2018-02-16 00:00;2.27
2018-02-17 00:00;2.24
2018-02-18 00:00;2.22
2018-02-19 00:00;2.20
2018-02-20 00:00;2.18
2018-02-21 00:00;2.16
2018-02-22 00:00;2.13
2018-02-23 00:00;2.11
2018-02-24 00:00;2.09
2018-02-25 00:00;2.07
2018-02-26 00:00;2.03
2018-02-27 00:00;2.03
2018-02-28 00:00;2.02
2018-03-01 00:00;2.00
2018-03-02 00:00;1.98
2018-03-03 00:00;1.96
2018-03-04 00:00;1.97
2018-03-05 00:00;1.95
2018-03-06 00:00;1.93
2018-03-07 00:00;1.91
2018-03-08 00:00;1.89
2018-03-09 00:00;1.88
2018-03-10 00:00;1.86
2018-03-11 00:00;1.84
2018-03-12 00:00;1.83
2018-03-13 00:00;1.82
2018-03-14 00:00;1.81
2018-03-15 00:00;1.79
2018-03-16 00:00;1.78
2018-03-17 00:00;1.77
2018-03-18 00:00;1.74
2018-03-19 00:00;1.73
2018-03-20 00:00;1.72
2018-03-21 00:00;1.72
2018-03-22 00:00;1.72
2018-03-23 00:00;1.72
2018-03-24 00:00;1.73
2018-03-25 00:00;1.73
2018-03-26 00:00;1.73
2018-03-27 00:00;1.74
2018-03-28 00:00;1.75
2018-03-29 00:00;1.75
2018-03-30 00:00;1.74
2018-03-31 00:00;1.72
2018-04-01 00:00;1.72
2018-04-02 00:00;1.72
2018-04-03 00:00;1.72
2018-04-04 00:00;1.72
2018-04-05 00:00;1.72
2018-04-06 00:00;1.71
2018-04-07 00:00;1.69
2018-04-08 00:00;1.68
2018-04-09 00:00;1.65
2018-04-10 00:00;1.61
2018-04-11 00:00;1.58
