0;Q_in;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur)
2019-08-12 08:00:00;2.246;1.51;1.78;44.0;1.12;49.4
2019-08-12 09:00:00;2.2640000000000002;3.31;1.72;45.51;3.02;137.57
2019-08-12 10:00:00;2.279;0.99;1.8;46.0;0.6;27.58
2019-08-12 11:00:00;2.291;2.04;1.81;48.0;1.74;83.57
2019-08-12 12:00:00;2.296;3.16;1.76;47.0;2.94;138.05
2019-08-12 13:00:00;2.2969999999999997;3.57;1.68;45.0;3.14;141.46
2019-08-12 14:00:00;2.295;3.0;1.63;45.0;2.8;126.02
2019-08-12 15:00:00;2.293;3.95;1.53;46.5;3.22;149.57
2019-08-12 16:00:00;2.29;2.13;1.54;50.0;1.84;92.13
2019-08-12 17:00:00;2.488;3.81;1.46;57.44;3.2;183.52
2019-08-12 18:00:00;3.036;3.7;1.42;60.6;3.17;192.4
2019-08-12 19:00:00;3.5810000000000004;3.09;1.45;62.31;2.87;179.07
2019-08-12 20:00:00;3.866;3.67;1.46;65.0;3.17;205.91
2019-08-12 21:00:00;3.952;2.5;1.55;58.31;2.28;133.06
2019-08-12 22:00:00;4.029;3.58;1.58;58.31;3.15;183.43
2019-08-12 23:00:00;4.244;3.81;1.61;60.6;3.2;193.83
2019-08-13 00:00:00;4.414;3.71;1.65;50.0;3.18;158.97
2019-08-13 01:00:00;4.401;3.6;1.7;45.23;3.16;142.76
2019-08-13 02:00:00;4.27;3.8;1.73;44.0;3.2;140.67
2019-08-13 03:00:00;4.074;2.93;1.8;40.98;2.73;112.03
2019-08-13 04:00:00;3.852;1.87;1.93;38.99;1.53;59.85
2019-08-13 05:00:00;3.63;3.69;1.92;38.08;3.18;121.01
2019-08-13 06:00:00;3.4210000000000003;2.71;1.97;35.9;2.52;90.46
2019-08-13 07:00:00;3.234;3.69;1.94;38.55;3.18;122.5
