0;Q_in;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur)
2019-08-12 08:00:00;2.25;0.03;444.38;49.85;0.15;7.42
2019-08-12 09:00:00;2.26;0.68;444.38;45.84;2.97;136.09
2019-08-12 10:00:00;2.28;0.0;444.39;47.06;0.0;0.07
2019-08-12 11:00:00;2.29;0.02;444.39;49.49;0.1;4.85
2019-08-12 12:00:00;2.3;0.02;444.4;49.93;0.07;3.67
2019-08-12 13:00:00;2.3;0.05;444.4;45.27;0.21;9.42
2019-08-12 14:00:00;2.3;1.95;444.4;57.27;8.51;487.17
2019-08-12 15:00:00;2.29;59.47;444.26;56.71;259.94;14740.07
2019-08-12 16:00:00;2.29;0.38;444.26;55.98;1.68;94.03
2019-08-12 17:00:00;2.49;0.63;444.27;54.3;2.75;149.34
2019-08-12 18:00:00;3.04;4.14;444.27;54.18;18.1;980.7
2019-08-12 19:00:00;3.58;3.72;444.27;56.99;16.24;925.62
2019-08-12 20:00:00;3.87;0.26;444.27;51.07;1.14;58.01
2019-08-12 21:00:00;3.95;1.25;444.28;58.11;5.44;316.28
2019-08-12 22:00:00;4.03;4.37;444.28;54.96;19.1;1049.92
2019-08-12 23:00:00;4.24;1.23;444.29;54.04;5.37;290.38
2019-08-13 00:00:00;4.41;0.02;444.3;48.6;0.09;4.44
2019-08-13 01:00:00;4.4;0.05;444.31;43.13;0.2;8.74
2019-08-13 02:00:00;4.27;0.07;444.32;44.86;0.32;14.43
2019-08-13 03:00:00;4.07;0.06;444.33;44.27;0.25;10.95
2019-08-13 04:00:00;3.85;0.12;444.34;44.68;0.52;23.44
2019-08-13 05:00:00;3.63;0.1;444.35;41.07;0.46;18.74
2019-08-13 06:00:00;3.42;0.02;444.36;40.66;0.07;2.86
2019-08-13 07:00:00;3.23;0.0;444.37;41.53;0.01;0.33
