;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2018-01-01 00:00:00;0.09;3.53;0.0;1673.99;42.23;0.0;0.0;3.53
2018-01-01 01:00:00;0.09;3.53;0.0;1673.99;40.9;0.0;0.0;3.53
2018-01-01 02:00:00;0.09;3.53;0.0;1673.99;37.46;0.0;0.0;3.53
2018-01-01 03:00:00;0.09;3.53;0.0;1673.99;34.04;0.0;0.0;3.53
2018-01-01 04:00:00;0.09;3.53;0.0;1673.99;34.73;0.0;0.0;3.53
2018-01-01 05:00:00;0.09;3.53;0.0;1673.99;39.07;0.0;0.0;3.53
2018-01-01 06:00:00;0.09;3.53;0.0;1673.99;45.22;0.0;0.0;3.53
2018-01-01 07:00:00;0.09;3.53;0.0;1673.99;54.45;0.0;0.0;3.53
2018-01-01 08:00:00;0.09;3.53;0.0;1673.99;61.17;0.0;0.0;3.53
2018-01-01 09:00:00;0.09;3.53;0.0;1674.0;60.04;0.0;0.0;3.53
2018-01-01 10:00:00;0.09;3.53;13.7;1673.95;56.89;113.08;6432.77;3.53
2018-01-01 11:00:00;0.09;3.53;0.0;1673.95;56.87;0.0;0.0;3.53
2018-01-01 12:00:00;0.09;3.53;0.0;1673.95;53.63;0.0;0.0;3.53
2018-01-01 13:00:00;0.09;3.53;0.0;1673.95;50.92;0.0;0.0;3.53
2018-01-01 14:00:00;0.09;3.53;0.0;1673.95;57.89;0.0;0.0;3.53
2018-01-01 15:00:00;0.09;3.53;2.52;1673.95;60.37;20.8;1255.74;3.53
2018-01-01 16:00:00;0.09;3.53;13.7;1673.9;66.08;113.08;7472.08;3.53
2018-01-01 17:00:00;0.09;3.53;13.7;1673.86;69.11;113.08;7814.45;3.53
2018-01-01 18:00:00;0.09;3.53;13.7;1673.82;66.17;113.08;7481.83;3.53
2018-01-01 19:00:00;0.09;3.53;13.7;1673.78;65.91;113.08;7452.62;3.53
2018-01-01 20:00:00;0.09;3.53;13.7;1673.73;60.09;113.08;6794.64;3.53
2018-01-01 21:00:00;0.09;3.53;0.0;1673.73;55.77;0.0;0.0;3.53
2018-01-01 22:00:00;0.09;3.53;0.0;1673.73;50.08;0.0;0.0;3.53
2018-01-01 23:00:00;0.09;3.53;0.0;1673.73;44.06;0.0;0.0;3.53
2018-01-02 00:00:00;0.09;3.52;0.0;1673.73;52.19;0.0;0.0;3.5199999999999996
2018-01-02 01:00:00;0.09;3.52;0.0;1673.73;47.39;0.0;0.0;3.5199999999999996
2018-01-02 02:00:00;0.09;3.52;0.0;1673.73;43.18;0.0;0.0;3.5199999999999996
2018-01-02 03:00:00;0.09;3.52;0.0;1673.73;40.23;0.0;0.0;3.5199999999999996
2018-01-02 04:00:00;0.09;3.52;0.0;1673.73;40.8;0.0;0.0;3.5199999999999996
2018-01-02 05:00:00;0.09;3.52;0.0;1673.73;45.84;0.01;0.24;3.5199999999999996
2018-01-02 06:00:00;0.09;3.52;0.0;1673.74;49.02;0.0;0.0;3.5199999999999996
2018-01-02 07:00:00;0.09;3.52;0.0;1673.74;56.05;0.0;0.03;3.5199999999999996
2018-01-02 08:00:00;0.09;3.52;2.28;1673.73;62.2;18.8;1169.59;3.5199999999999996
2018-01-02 09:00:00;0.09;3.52;13.7;1673.69;64.76;113.07;7322.13;3.5199999999999996
2018-01-02 10:00:00;0.09;3.52;0.0;1673.69;59.46;0.0;0.0;3.5199999999999996
2018-01-02 11:00:00;0.09;3.52;0.0;1673.69;59.72;0.0;0.0;3.5199999999999996
2018-01-02 12:00:00;0.09;3.52;0.0;1673.69;53.37;0.0;0.0;3.5199999999999996
2018-01-02 13:00:00;0.09;3.52;0.0;1673.69;51.05;0.0;0.0;3.5199999999999996
2018-01-02 14:00:00;0.09;3.52;0.0;1673.69;56.02;0.0;0.0;3.5199999999999996
2018-01-02 15:00:00;0.09;3.52;0.0;1673.69;58.34;0.0;0.0;3.5199999999999996
2018-01-02 16:00:00;0.09;3.52;13.7;1673.64;66.05;113.07;7469.13;3.5199999999999996
2018-01-02 17:00:00;0.09;3.52;13.7;1673.6;70.76;113.08;8000.94;3.5199999999999996
2018-01-02 18:00:00;0.09;3.52;13.7;1673.56;71.36;113.08;8068.98;3.5199999999999996
2018-01-02 19:00:00;0.09;3.52;13.7;1673.52;71.7;113.08;8107.42;3.5199999999999996
2018-01-02 20:00:00;0.09;3.52;13.7;1673.47;64.72;113.08;7318.65;3.5199999999999996
2018-01-02 21:00:00;0.09;3.52;0.0;1673.47;56.74;0.0;0.0;3.5199999999999996
2018-01-02 22:00:00;0.09;3.52;0.0;1673.47;48.44;0.0;0.0;3.5199999999999996
2018-01-02 23:00:00;0.09;3.52;0.0;1673.47;43.48;0.0;0.0;3.5199999999999996
2018-01-03 00:00:00;0.09;3.51;0.0;1673.47;26.58;0.0;0.02;3.509583333333333
2018-01-03 01:00:00;0.09;3.51;0.0;1673.47;21.23;0.0;0.0;3.509583333333333
2018-01-03 02:00:00;0.09;3.51;0.0;1673.47;17.45;0.0;0.02;3.509583333333333
2018-01-03 03:00:00;0.09;3.51;0.0;1673.47;16.19;0.0;0.0;3.509583333333333
2018-01-03 04:00:00;0.09;3.51;0.0;1673.47;16.13;0.0;0.0;3.509583333333333
2018-01-03 05:00:00;0.09;3.51;0.0;1673.48;21.58;0.0;0.0;3.509583333333333
2018-01-03 06:00:00;0.09;3.51;0.0;1673.48;40.91;0.01;0.43;3.509583333333333
2018-01-03 07:00:00;0.09;3.51;0.0;1673.48;47.18;0.0;0.0;3.509583333333333
2018-01-03 08:00:00;0.09;3.51;0.0;1673.48;49.26;0.0;0.0;3.509583333333333
2018-01-03 09:00:00;0.09;3.51;12.65;1673.44;53.18;104.4;5552.71;3.509583333333333
2018-01-03 10:00:00;0.09;3.51;0.0;1673.44;49.83;0.0;0.0;3.509583333333333
2018-01-03 11:00:00;0.09;3.51;0.0;1673.44;48.87;0.0;0.0;3.509583333333333
2018-01-03 12:00:00;0.09;3.51;0.0;1673.44;46.62;0.0;0.0;3.509583333333333
2018-01-03 13:00:00;0.09;3.51;0.0;1673.44;45.54;0.0;0.0;3.509583333333333
2018-01-03 14:00:00;0.09;3.51;0.0;1673.44;48.54;0.0;0.0;3.509583333333333
2018-01-03 15:00:00;0.09;3.51;0.0;1673.44;48.4;0.0;0.0;3.509583333333333
2018-01-03 16:00:00;0.09;3.51;3.08;1673.43;54.06;25.45;1376.1;3.509583333333333
2018-01-03 17:00:00;0.09;3.51;13.7;1673.39;60.16;113.08;6803.02;3.509583333333333
2018-01-03 18:00:00;0.09;3.51;13.7;1673.34;63.6;113.08;7191.02;3.509583333333333
2018-01-03 19:00:00;0.09;3.51;13.7;1673.3;63.63;113.08;7194.99;3.509583333333333
2018-01-03 20:00:00;0.09;3.51;13.7;1673.26;58.24;113.08;6585.49;3.509583333333333
2018-01-03 21:00:00;0.09;3.51;13.7;1673.21;55.23;113.08;6245.24;3.509583333333333
2018-01-03 22:00:00;0.09;3.51;0.0;1673.21;47.85;0.0;0.0;3.509583333333333
2018-01-03 23:00:00;0.09;3.51;0.0;1673.21;43.02;0.0;0.0;3.509583333333333
2018-01-04 00:00:00;0.09;3.5;0.0;1673.21;41.12;0.0;0.0;3.5
2018-01-04 01:00:00;0.09;3.5;0.0;1673.21;34.22;0.0;0.0;3.5
2018-01-04 02:00:00;0.09;3.5;0.0;1673.21;29.02;0.0;0.0;3.5
2018-01-04 03:00:00;0.09;3.5;0.0;1673.21;29.65;0.0;0.0;3.5
2018-01-04 04:00:00;0.09;3.5;0.0;1673.21;33.68;0.0;0.0;3.5
2018-01-04 05:00:00;0.09;3.5;0.0;1673.22;39.63;0.0;0.0;3.5
2018-01-04 06:00:00;0.09;3.5;0.0;1673.22;49.15;0.0;0.0;3.5
2018-01-04 07:00:00;0.09;3.5;13.7;1673.17;68.94;113.07;7794.86;3.5
2018-01-04 08:00:00;0.09;3.5;13.7;1673.13;74.57;113.08;8431.88;3.5
2018-01-04 09:00:00;0.09;3.5;13.7;1673.09;71.37;113.08;8070.04;3.5
2018-01-04 10:00:00;0.09;3.5;0.0;1673.09;60.42;0.0;0.0;3.5
2018-01-04 11:00:00;0.08;3.5;0.0;1673.09;58.75;0.0;0.0;3.5
2018-01-04 12:00:00;0.08;3.5;0.0;1673.09;55.7;0.0;0.0;3.5
2018-01-04 13:00:00;0.08;3.5;0.0;1673.09;54.5;0.0;0.0;3.5
2018-01-04 14:00:00;0.08;3.5;0.0;1673.09;58.42;0.0;0.0;3.5
2018-01-04 15:00:00;0.08;3.5;0.0;1673.09;60.28;0.0;0.02;3.5
2018-01-04 16:00:00;0.08;3.5;1.8;1673.08;66.62;14.86;989.68;3.5
2018-01-04 17:00:00;0.08;3.5;13.7;1673.04;78.12;113.08;8833.44;3.5
2018-01-04 18:00:00;0.08;3.5;13.7;1672.99;73.52;113.08;8313.01;3.5
2018-01-04 19:00:00;0.08;3.5;13.7;1672.95;69.51;113.08;7860.08;3.5
2018-01-04 20:00:00;0.08;3.5;0.0;1672.95;62.56;0.0;0.04;3.5
2018-01-04 21:00:00;0.08;3.5;0.0;1672.95;58.18;0.0;0.0;3.5
