;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_in_real
2021-11-01 00:00:00;0.7;0.9682044287094113;13.62;1687.02;165.92;112.45;18657.96;0.6707965988147384
2021-11-01 01:00:00;0.74;0.9682044287094113;13.69;1686.97;162.53;113.02;18369.45;0.6720946147900024
2021-11-01 02:00:00;0.77;0.9682044287094113;13.7;1686.92;151.56;113.08;17137.66;0.6720946147900024
2021-11-01 03:00:00;0.75;0.9682044287094113;4.54;1686.91;140.97;37.44;5278.39;0.6707965988147384
2021-11-01 04:00:00;0.73;0.9682044287094113;13.7;1686.87;140.5;113.08;15887.05;0.6707965988147384
2021-11-01 05:00:00;0.73;0.9682044287094113;13.7;1686.82;147.49;113.06;16675.14;0.6721029631538263
2021-11-01 06:00:00;0.68;0.9682044287094113;13.69;1686.78;163.08;113.0;18427.84;0.6720946147900024
2021-11-01 07:00:00;0.62;0.9682044287094113;13.7;1686.73;163.08;113.08;18440.29;0.6720946147900024
2021-11-01 08:00:00;0.52;0.9682044287094113;13.7;1686.69;162.69;113.07;18394.66;0.665637928368977
2021-11-01 09:00:00;0.63;0.9682044287094113;13.68;1686.64;170.0;112.89;19191.12;0.6695236279309454
2021-11-01 10:00:00;0.62;0.9682044287094113;13.7;1686.6;170.0;113.08;19222.77;0.6733926307652666
2021-11-01 11:00:00;0.51;0.9682044287094113;13.7;1686.55;183.13;113.08;20707.45;0.6746906467405307
2021-11-01 12:00:00;0.53;0.9682044287094113;13.67;1686.51;173.8;112.87;19616.58;0.6746906467405307
2021-11-01 13:00:00;0.57;0.9682044287094113;13.7;1686.46;163.08;113.08;18440.29;0.6864454522030403
2021-11-01 14:00:00;0.69;0.9682044287094113;13.7;1686.42;161.8;113.08;18295.55;0.7224247358928111
2021-11-01 15:00:00;0.95;0.9682044287094113;13.7;1686.38;160.4;113.08;18137.25;0.7652889461478999
2021-11-01 16:00:00;1.2;0.9682044287094113;13.69;1686.33;164.07;112.96;18533.66;0.7823975264107188
2021-11-01 17:00:00;1.54;0.9682044287094113;13.68;1686.29;166.11;112.93;18758.8;0.7809541870651893
2021-11-01 18:00:00;1.79;0.9682044287094113;13.24;1686.25;183.0;109.24;19991.64;0.7709219273383147
2021-11-01 19:00:00;1.69;0.9682044287094113;13.7;1686.2;179.9;113.08;20342.21;0.7387498067508372
2021-11-01 20:00:00;1.82;0.9682044287094113;13.67;1686.16;163.08;112.81;18397.34;0.7115826848750321
2021-11-01 21:00:00;1.65;0.9682044287094113;13.7;1686.11;153.0;113.08;17300.49;0.7049036846173665
2021-11-01 22:00:00;1.51;0.9682044287094113;13.65;1686.07;147.37;112.66;16602.42;0.7075671218758051
2021-11-01 23:00:00;1.28;0.9682044287094113;13.7;1686.03;134.9;113.08;15253.83;0.7142563256892553
2021-11-02 00:00:00;1.1;0.9384480160221375;13.7;1685.98;145.0;113.08;16396.11;0.7169401700592631
2021-11-02 01:00:00;0.94;0.9384480160221375;0.0;1685.98;140.94;0.0;0.0;0.7102305591342437
2021-11-02 02:00:00;0.95;0.9384480160221375;13.7;1685.94;130.0;113.08;14699.76;0.7155982478742591
