;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_out daily mean
2018-01-01 00:00:00;0.09;3.53;0.0;1673.99;43.26;0.0;0.0;2.8541666666666665
2018-01-01 01:00:00;0.09;3.53;0.0;1673.99;42.97;0.0;0.0;2.8541666666666665
2018-01-01 02:00:00;0.09;3.53;0.0;1673.99;39.49;0.0;0.0;2.8541666666666665
2018-01-01 03:00:00;0.09;3.53;0.0;1673.99;36.69;0.0;0.0;2.8541666666666665
2018-01-01 04:00:00;0.09;3.53;0.0;1673.99;36.09;0.0;0.0;2.8541666666666665
2018-01-01 05:00:00;0.09;3.53;0.0;1673.99;41.03;0.0;0.0;2.8541666666666665
2018-01-01 06:00:00;0.09;3.53;0.0;1673.99;44.06;0.0;0.0;2.8541666666666665
2018-01-01 07:00:00;0.09;3.53;0.0;1673.99;47.29;0.0;0.0;2.8541666666666665
2018-01-01 08:00:00;0.09;3.53;0.0;1673.99;47.44;0.0;0.0;2.8541666666666665
2018-01-01 09:00:00;0.09;3.53;0.0;1674.0;49.69;0.0;0.0;2.8541666666666665
2018-01-01 10:00:00;0.09;3.53;13.7;1673.95;51.87;113.08;5865.22;2.8541666666666665
2018-01-01 11:00:00;0.09;3.53;0.0;1673.95;51.65;0.0;0.0;2.8541666666666665
2018-01-01 12:00:00;0.09;3.53;13.7;1673.91;49.18;113.08;5560.68;2.8541666666666665
2018-01-01 13:00:00;0.09;3.53;0.0;1673.91;46.53;0.0;0.0;2.8541666666666665
2018-01-01 14:00:00;0.09;3.53;0.0;1673.91;47.96;0.0;0.0;2.8541666666666665
2018-01-01 15:00:00;0.09;3.53;0.0;1673.91;50.61;0.0;0.0;2.8541666666666665
2018-01-01 16:00:00;0.09;3.53;13.7;1673.87;59.48;113.08;6726.25;2.8541666666666665
2018-01-01 17:00:00;0.09;3.53;13.7;1673.83;63.9;113.08;7225.07;2.8541666666666665
2018-01-01 18:00:00;0.09;3.53;13.7;1673.78;61.44;113.08;6947.26;2.8541666666666665
2018-01-01 19:00:00;0.09;3.53;0.0;1673.78;56.68;0.0;0.0;2.8541666666666665
2018-01-01 20:00:00;0.09;3.53;0.0;1673.78;53.54;0.0;0.0;2.8541666666666665
2018-01-01 21:00:00;0.09;3.53;0.0;1673.78;49.8;0.0;0.0;2.8541666666666665
2018-01-01 22:00:00;0.09;3.53;0.0;1673.78;47.1;0.0;0.0;2.8541666666666665
2018-01-01 23:00:00;0.09;3.53;0.0;1673.78;43.72;0.0;0.0;2.8541666666666665
2018-01-02 00:00:00;0.09;3.52;0.0;1673.78;39.79;0.0;0.0;7.991666666666666
2018-01-02 01:00:00;0.09;3.52;0.0;1673.78;37.0;0.0;0.0;7.991666666666666
2018-01-02 02:00:00;0.09;3.52;0.0;1673.79;32.75;0.0;0.0;7.991666666666666
2018-01-02 03:00:00;0.09;3.52;0.0;1673.79;31.24;0.0;0.0;7.991666666666666
2018-01-02 04:00:00;0.09;3.52;0.0;1673.79;35.23;0.0;0.0;7.991666666666666
2018-01-02 05:00:00;0.09;3.52;0.0;1673.79;36.02;0.0;0.0;7.991666666666666
2018-01-02 06:00:00;0.09;3.52;13.7;1673.74;47.3;113.08;5348.0;7.991666666666666
2018-01-02 07:00:00;0.09;3.52;13.7;1673.7;52.41;113.08;5926.01;7.991666666666666
2018-01-02 08:00:00;0.09;3.52;13.7;1673.66;52.9;113.08;5981.37;7.991666666666666
2018-01-02 09:00:00;0.09;3.52;0.0;1673.66;52.77;0.0;0.0;7.991666666666666
2018-01-02 10:00:00;0.09;3.52;13.7;1673.61;53.5;113.08;6050.02;7.991666666666666
2018-01-02 11:00:00;0.09;3.52;13.7;1673.57;53.38;113.08;6035.67;7.991666666666666
2018-01-02 12:00:00;0.09;3.52;13.7;1673.53;52.41;113.08;5925.85;7.991666666666666
2018-01-02 13:00:00;0.09;3.52;13.7;1673.49;50.95;113.08;5761.36;7.991666666666666
2018-01-02 14:00:00;0.09;3.52;13.7;1673.44;51.32;113.08;5803.38;7.991666666666666
2018-01-02 15:00:00;0.09;3.52;13.7;1673.4;53.99;113.08;6104.67;7.991666666666666
2018-01-02 16:00:00;0.09;3.52;13.7;1673.36;58.07;113.08;6565.8;7.991666666666666
2018-01-02 17:00:00;0.09;3.52;13.7;1673.31;63.42;113.08;7171.42;7.991666666666666
2018-01-02 18:00:00;0.09;3.52;13.7;1673.27;63.35;113.08;7163.59;7.991666666666666
2018-01-02 19:00:00;0.09;3.52;13.7;1673.23;60.22;113.08;6809.14;7.991666666666666
2018-01-02 20:00:00;0.09;3.52;13.7;1673.18;54.4;113.08;6151.51;7.991666666666666
2018-01-02 21:00:00;0.09;3.52;0.0;1673.18;49.16;0.0;0.0;7.991666666666666
2018-01-02 22:00:00;0.09;3.52;0.0;1673.18;47.0;0.0;0.0;7.991666666666666
2018-01-02 23:00:00;0.09;3.52;0.0;1673.18;40.5;0.0;0.0;7.991666666666666
2018-01-03 00:00:00;0.09;3.51;0.0;1673.19;40.75;0.0;0.0;7.991666666666666
2018-01-03 01:00:00;0.09;3.51;0.0;1673.19;34.28;0.0;0.0;7.991666666666666
2018-01-03 02:00:00;0.09;3.51;0.0;1673.19;28.77;0.0;0.0;7.991666666666666
2018-01-03 03:00:00;0.09;3.51;0.0;1673.19;25.47;0.0;0.0;7.991666666666666
2018-01-03 04:00:00;0.09;3.51;0.0;1673.19;28.38;0.0;0.0;7.991666666666666
2018-01-03 05:00:00;0.09;3.51;0.0;1673.19;34.05;0.0;0.0;7.991666666666666
2018-01-03 06:00:00;0.09;3.51;0.0;1673.19;47.77;0.0;0.0;7.991666666666666
2018-01-03 07:00:00;0.09;3.51;13.7;1673.14;55.46;113.08;6270.7;7.991666666666666
2018-01-03 08:00:00;0.09;3.51;13.7;1673.1;57.22;113.08;6470.66;7.991666666666666
2018-01-03 09:00:00;0.09;3.51;13.7;1673.06;56.76;113.08;6417.74;7.991666666666666
2018-01-03 10:00:00;0.09;3.51;13.7;1673.01;56.21;113.08;6355.73;7.991666666666666
2018-01-03 11:00:00;0.09;3.51;13.7;1672.97;54.83;113.08;6199.63;7.991666666666666
2018-01-03 12:00:00;0.09;3.51;13.7;1672.93;53.11;113.08;6005.55;7.991666666666666
2018-01-03 13:00:00;0.09;3.51;13.7;1672.88;53.6;113.08;6060.91;7.991666666666666
2018-01-03 14:00:00;0.09;3.51;13.7;1672.84;53.81;113.08;6084.67;7.991666666666666
2018-01-03 15:00:00;0.09;3.51;13.7;1672.8;55.49;113.08;6274.96;7.991666666666666
2018-01-03 16:00:00;0.09;3.51;13.7;1672.75;56.82;113.08;6425.25;7.991666666666666
2018-01-03 17:00:00;0.09;3.51;13.7;1672.71;61.45;113.08;6948.82;7.991666666666666
2018-01-03 18:00:00;0.09;3.51;13.7;1672.67;63.58;113.08;7189.27;7.991666666666666
2018-01-03 19:00:00;0.09;3.51;13.7;1672.62;61.38;113.08;6940.67;7.991666666666666
2018-01-03 20:00:00;0.09;3.51;0.0;1672.62;55.66;0.0;0.0;7.991666666666666
2018-01-03 21:00:00;0.09;3.51;0.0;1672.62;51.12;0.0;0.0;7.991666666666666
2018-01-03 22:00:00;0.09;3.51;0.0;1672.62;48.49;0.0;0.0;7.991666666666666
2018-01-03 23:00:00;0.09;3.51;13.7;1672.58;42.81;113.08;4840.73;7.991666666666666
2018-01-04 00:00:00;0.09;3.5;0.0;1672.58;36.75;0.0;0.0;8.5625
2018-01-04 01:00:00;0.09;3.5;0.0;1672.58;31.92;0.0;0.0;8.5625
2018-01-04 02:00:00;0.09;3.5;0.0;1672.58;28.72;0.0;0.0;8.5625
2018-01-04 03:00:00;0.09;3.5;0.0;1672.58;27.76;0.0;0.0;8.5625
2018-01-04 04:00:00;0.09;3.5;0.0;1672.58;30.81;0.0;0.0;8.5625
2018-01-04 05:00:00;0.09;3.5;0.0;1672.58;32.53;0.0;0.0;8.5625
2018-01-04 06:00:00;0.09;3.5;0.0;1672.58;47.51;0.0;0.0;8.5625
2018-01-04 07:00:00;0.09;3.5;13.7;1672.54;56.87;113.08;6431.08;8.5625
2018-01-04 08:00:00;0.09;3.5;13.7;1672.49;59.05;113.08;6676.64;8.5625
2018-01-04 09:00:00;0.09;3.5;13.7;1672.45;59.29;113.08;6704.03;8.5625
2018-01-04 10:00:00;0.09;3.5;13.7;1672.41;58.15;113.08;6575.27;8.5625
2018-01-04 11:00:00;0.08;3.5;13.7;1672.36;57.0;113.08;6445.15;8.5625
2018-01-04 12:00:00;0.08;3.5;0.0;1672.36;55.31;0.0;0.0;8.5625
2018-01-04 13:00:00;0.08;3.5;13.7;1672.32;55.68;113.08;6296.05;8.5625
2018-01-04 14:00:00;0.08;3.5;13.7;1672.27;55.53;113.08;6279.14;8.5625
2018-01-04 15:00:00;0.08;3.5;13.7;1672.23;56.89;113.08;6432.92;8.5625
2018-01-04 16:00:00;0.08;3.5;13.7;1672.19;59.0;113.08;6671.04;8.5625
2018-01-04 17:00:00;0.08;3.5;13.7;1672.14;65.84;113.08;7444.4;8.5625
2018-01-04 18:00:00;0.08;3.5;13.7;1672.1;66.23;113.08;7488.98;8.5625
2018-01-04 19:00:00;0.08;3.5;13.7;1672.05;63.04;113.08;7128.29;8.5625
2018-01-04 20:00:00;0.08;3.5;13.7;1672.01;57.85;113.08;6541.85;8.5625
2018-01-04 21:00:00;0.08;3.5;13.7;1671.96;53.61;113.08;6062.18;8.5625
2018-01-04 22:00:00;0.08;3.5;13.7;1671.92;49.77;113.08;5627.47;8.5625
2018-01-04 23:00:00;0.08;3.5;0.0;1671.92;44.94;0.0;0.0;8.5625
